Major Mackenzie Dr. E. @ Hwy. 404,43.882701163266404,-79.38037165255659
Major Mackenzie Dr. E. @ Hwy. 404,43.8827741694863,-79.3804406287544
Yonge St. @ Finch Ave.,43.780851942972205,-79.416002462366
Hwy. 50 @ Castlemore Rd.,43.8022027763583,-79.6689430530202
Winchester Rd. W. @ Lake Ridge Rd.,43.9404993537075,-79.016552197116
Kingston Rd. @ Westney Rd.,43.857678667214,-79.04098859988959
Trafalgar Rd. @ Dundas St.,43.487911943548205,-79.71998311767791
Guelph St. @ Hall Rd.,43.6486902942995,-79.8765444720472
Bayview Ave. @ St. John's Sideroad,44.023461599752,-79.44769206006809
Bayview Ave. @ St. John's Sideroad,44.0237239494145,-79.4481818236578
Bayview Ave. @ Mulock Dr.,44.04104449559809,-79.45175865294341
Bayview Ave. @ Mulock Dr.,44.041441565205794,-79.45215894760209
Prospect St. @ Pearson St.,44.0493428055643,-79.45288438052259
Prospect St. @ Pearson St.,44.049618623869705,-79.453040727793
Burton Ave. @ Granville St.,44.37165855567739,-79.69050532832729
Burton Ave. @ Granville St.,44.37164444852429,-79.6911595701255
Green Lane E. @ Yonge St.,44.073913,-79.481138
Queen St. @ Mill St.,43.8809995812407,-79.74008964884929
Queen St. @ Hickman St.,43.881289458911,-79.7407395455473
Bramalea Rd. @ Balmoral Dr.,43.71546797359161,-79.70546768150271
Gordon St. @ Clair Rd. W.,43.5003866753456,-80.1893148019381
Gordon St. @ Clair Rd. E.,43.5002316951943,-80.1886650066085
Dundas St. @ Halls Rd.,43.871063454729395,-78.9813988024596
Dundas St. @ Halls Rd.,43.87130523320621,-78.981120567689
Hwy 407 Bus Terminal,43.783071323485096,-79.5244458372792
Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288
Dundas St. @ Hwy. 412 Park & Ride,43.876948659063395,-78.98122494983379
City Centre Dr. @ Duke of York Blvd.,43.589202904424106,-79.64274644800459
City Centre Dr. @ Robert Speck Pkwy.,43.594225540709,-79.63927873049371
City Centre Dr. @ Robert Speck Pkwy.,43.594748085345294,-79.6397587842478
Renforth Transitway Station,43.662995090205,-79.5911181123626
Renforth Transitway Station,43.6630754344014,-79.591281189024
Dixie Transitway Station,43.630012894721794,-79.6146254772841
Dixie Transitway Station,43.63004786630321,-79.6146878930147
Hurontario St. @ Fairview Rd.,43.587590761070096,-79.62650466709121
Hurontario St. @ Elm Dr.,43.5908331882659,-79.63101442796851
West Harbour GO,43.2660685497468,-79.86599780565079
Military Trail. @ Pan Am Dr.,43.7877954094493,-79.19041904585409
Military Trail. @ Pan Am Dr.,43.7878560204119,-79.1908919809448
Trafalgar Rd. @ Dundas St. E.,43.4877993708847,-79.7192931589981
Niagara College,43.15248459208839,-79.166533938966
Main St. @ Baker Hill Blvd.,43.965399175433504,-79.27427923417159
