Region Identifier,Region,Actual incidents,"Total, persons charged 22","Total, adult charged"
35521,Kingston,0,0,0
35522,Belleville,1,1,1
35529,Peterborough,2,1,0
35535,Toronto,52,63,60
35537,Hamilton,14,10,9
35539,St.Catharines,1,1,1
,Niagara,1,1,1
35541,Kitchener,5,5,5
,Cambridge,5,5,5
,Waterloo,5,5,5
35543,Brantford,1,1,1
35550,Guelph,1,1,1
35555,London,10,2,2
35559,Windsor,0,0,0
35568,Barrie,2,2,2
35580,Greater Sudbury,2,2,2
35595,Thunder Bay,0,0,0
